class	verdict	name	ownerrepo	resolved	section	last_commit	pushed	stars	forks	open_issues	archived	license	lang	url	reason
DEAD	DEFECT	Carbu_com	myTselection/Carbu_com		Combustible y Estaciones de Servicio									https://github.com/myTselection/Carbu_com	Repo y cuenta entera del usuario borrados de GitHub (404 en /users/myTselection). Sin sucesor. Enlace roto.
DEAD	DEFECT	AcuaNet	DvzZDev/AcuaNet		Telecomunicaciones									https://github.com/DvzZDev/AcuaNet	Repo borrado; el usuario sigue activo con 6 repos. El servicio acuanet.es sigue vivo (HTTP 200), así que se cerró el código pero no el producto. Enlace roto.
RENAMED	RENAMED-OK	llave	OpenHacienda/llave	gabela-io/llave	Firma Electrónica y Administración Pública	2026-03-21T14:49:33Z	2026-03-23T15:15:12Z	0	0	0	False	MIT	Dart	https://github.com/OpenHacienda/llave	Organización renombrada a gabela-io. Vivo (2026-03-21). Solo actualizar la URL.
RENAMED	RENAMED-OK	puntoBOE	OpenHacienda/puntoBOE	gabela-io/puntoBOE	Facturación Electrónica	2026-03-30T08:25:06Z	2026-03-30T08:28:37Z	1	0	0	False		Rust	https://github.com/OpenHacienda/puntoBOE	Organización renombrada a gabela-io. Vivo (commit 2026-03-30). Solo actualizar la URL.
RENAMED	RENAMED-OK	gobl.ticketbai	invopop/gobl.ticketbai	invopop/gobl.es.ticketbai	Facturación Electrónica	2026-07-02T15:10:38Z	2026-08-17T22:54:45Z	7	1	0	False	AGPL-3.0	Go	https://github.com/invopop/gobl.ticketbai	Renombrado a invopop/gobl.es.ticketbai. Vivo (2026-07-02). Solo actualizar la URL.
ARCHIVED	SUPERSEDED	TDTChannels-APP	LaQuay/TDTChannels-APP	LaQuay/TDTChannels-APP	Televisión, Radio y Podcasts	2020-04-26T17:01:19Z	2020-04-26T17:03:01Z	187	29	0	True	MIT	Java	https://github.com/LaQuay/TDTChannels-APP	Archivado en 2020. 187 estrellas, pero el proyecto vivo es TDTChannels (LaQuay/TDTChannels), ya en la lista.
ARCHIVED	SUPERSEDED	FacturaScripts 2015	NeoRazorX/facturascripts_2015	NeoRazorX/facturascripts_2015	ERP y Contabilidad	2022-04-20T11:49:16Z	2022-04-20T11:49:19Z	88	105	0	True	LGPL-3.0	PHP	https://github.com/NeoRazorX/facturascripts_2015	Archivado. Es la rama 2015 congelada; FacturaScripts actual (NeoRazorX/facturascripts) ya está en la lista y activo.
ARCHIVED	SUPERSEDED	ha_prosegur	dgomes/ha_prosegur	dgomes/ha_prosegur	Alarmas y Seguridad del Hogar	2023-02-28T17:21:07Z	2023-02-28T17:21:10Z	3	0	1	True	MIT	Python	https://github.com/dgomes/ha_prosegur	Archivado. Prosegur cambió su API; el autor mantiene pyprosegur, también en la lista y activo.
ARCHIVED	ABANDONWARE	renfe	ferranpm/renfe	ferranpm/renfe	Transporte y Movilidad	2024-11-26T12:58:26Z	2024-11-26T12:59:09Z	16	1	1	True		Ruby	https://github.com/ferranpm/renfe	Archivado en noviembre de 2024. CLI sobre la web de venta de Renfe, que ha cambiado desde entonces.
ARCHIVED	ABANDONWARE	spanish-law-mcp	Ansvar-Systems/spanish-law-mcp	Ansvar-Systems/spanish-law-mcp	Servidores MCP	2026-07-07T03:56:26Z	2026-07-07T03:56:28Z	2	0	1	True	NOASSERTION	TypeScript	https://github.com/Ansvar-Systems/spanish-law-mcp	Archivado en julio de 2026, dos meses después de crearse. 2 estrellas. Nunca llegó a tener uso.
STALE	DEFECT	clave	ctt-gob-es/clave	ctt-gob-es/clave	Firma Electrónica y Administración Pública		2018-02-07T11:55:35Z	2	0	1	False			https://github.com/ctt-gob-es/clave	REPOSITORIO VACÍO: creado el 2018-02-07, cero commits, cero ramas. Incumple el «no es un repositorio vacío» de los propios criterios.
STALE	ABANDONWARE	calima	vrruiz/calima	vrruiz/calima	Meteorología	2011-05-08T21:59:41Z	2011-05-14T19:42:57Z	9	2	4	False	NOASSERTION	JavaScript	https://github.com/vrruiz/calima	Último commit de 2011. Visualizador de datos de AEMET anterior a la API OpenData de AEMET (2015). No puede funcionar.
STALE	FINISHED	norma43	linkingpaths/norma43	linkingpaths/norma43	Formatos Bancarios	2012-01-23T11:10:57Z	2012-01-23T11:11:03Z	5	4	1	False		Ruby	https://github.com/linkingpaths/norma43	Norma 43 del CSB: formato heredado y congelado que los bancos españoles siguen emitiendo igual. Cero issues de fallo.
STALE	ABANDONWARE	cercanias-renfe-android	jonseg/cercanias-renfe-android	jonseg/cercanias-renfe-android	Transporte y Movilidad	2012-02-05T10:49:55Z	2012-02-05T10:50:08Z	21	8	1	False	NOASSERTION	Java	https://github.com/jonseg/cercanias-renfe-android	App Android de 2012 sobre la web antigua de Cercanías. Renfe rehízo el portal varias veces; además es un APK anterior a Material.
STALE	FINISHED	cuadernos-AEB	jofemodo/cuadernos-AEB	jofemodo/cuadernos-AEB	Formatos Bancarios	2013-04-04T23:43:17Z	2013-04-04T23:43:21Z	6	4	2	False			https://github.com/jofemodo/cuadernos-AEB	Cuadernos AEB 19/34/43: formatos estables. La única issue abierta pregunta por SEPA C19.14, una extensión, no un fallo.
STALE	FINISHED	catastro2postgis	oscarfonts/catastro2postgis	oscarfonts/catastro2postgis	Cartografía y Catastro	2013-09-03T07:13:29Z	2013-09-03T07:13:29Z	28	11	1	False		Python	https://github.com/oscarfonts/catastro2postgis	Carga el GML INSPIRE del Catastro en PostGIS. El esquema INSPIRE del Catastro no ha cambiado y la descarga sigue publicada. 11 forks.
STALE	ABANDONWARE	Generative-Flamenco	oratioandco/Generative-Flamenco	oratioandco/Generative-Flamenco	Música y Flamenco	2013-09-03T15:00:56Z	2013-09-03T15:00:58Z	6	1	1	False		Processing	https://github.com/oratioandco/Generative-Flamenco	Experimento de flamenco generativo de 2013, 6 estrellas, sin releases ni documentación de uso.
STALE	ABANDONWARE	bicimad-api	cicloon/bicimad-api	cicloon/bicimad-api	Transporte y Movilidad	2014-07-12T09:45:48Z	2016-05-13T19:26:12Z	15	5	1	False		JavaScript	https://github.com/cicloon/bicimad-api	API de BiciMAD de 2014. EMT Madrid absorbió BiciMAD en MobilityLabs y el servicio ha cambiado desde entonces; no se ha verificado el endpoint antiguo.
